stat_no;year;month;day;hour;elem_val
26409;1997;1;13;7;0,0
26409;1997;1;14;7;0,0
26409;1997;1;15;7;0,0
26409;1997;1;16;7;0,0
26409;1997;1;17;7;0,0
26409;1997;1;18;7;0,0
26409;1997;1;19;7;1,3
26409;1997;1;20;7;0,4
26409;1997;1;21;7;0,0
26409;1997;1;22;7;0,0
26409;1997;1;23;7;0,6
26409;1997;1;24;7;0,0
26409;1997;1;25;7;0,7
26409;1997;1;26;7;0,0
26409;1997;1;27;7;0,0
26409;1997;1;28;7;0,0
26409;1997;1;29;7;0,2
26409;1997;1;30;7;0,0
26409;1997;1;31;7;0,0
26409;1997;2;1;7;0,0
26409;1997;2;2;7;0,0
26409;1997;2;3;7;0,2
26409;1997;2;4;7;2,3
26409;1997;2;5;7;12,4
26409;1997;2;6;7;0,0
26409;1997;2;7;7;0,2
26409;1997;2;8;7;2,0
26409;1997;2;9;7;0,0
26409;1997;2;10;7;1,5
26409;1997;2;11;7;5,4
26409;1997;2;12;7;2,3
26409;1997;2;13;7;13,7
26409;1997;2;14;7;3,6
26409;1997;2;15;7;4,4
26409;1997;2;16;7;0,0
26409;1997;2;17;7;0,0
26409;1997;2;18;7;12,5
26409;1997;2;19;7;10,1
26409;1997;2;20;7;13,3
26409;1997;2;21;7;5,5
26409;1997;2;22;7;0,0
26409;1997;2;23;7;0,0
26409;1997;2;24;7;0,0
26409;1997;2;25;7;8,1
26409;1997;2;26;7;0,0
26409;1997;2;27;7;0,0
26409;1997;2;28;7;0,0
26409;1997;3;1;7;2,2
26409;1997;3;2;7;0,0
26409;1997;3;3;7;4,1
26409;1997;3;4;7;0,0
26409;1997;3;5;7;0,0
26409;1997;3;6;7;1,3
26409;1997;3;7;7;0,0
26409;1997;3;8;7;0,0
26409;1997;3;9;7;0,0
26409;1997;3;10;7;0,0
26409;1997;3;11;7;0,0
26409;1997;3;12;7;0,0
26409;1997;3;13;7;0,0
26409;1997;3;14;7;2,8
26409;1997;3;15;7;1,7
26409;1997;3;16;7;3,9
26409;1997;3;17;7;1,8
26409;1997;3;18;7;0,0
26409;1997;3;19;7;7,9
26409;1997;3;20;7;0,0
26409;1997;3;21;7;2,2
26409;1997;3;22;7;0,0
26409;1997;3;23;7;0,0
26409;1997;3;24;7;0,8
26409;1997;3;25;7;0,0
26409;1997;3;26;7;0,0
26409;1997;3;27;7;6,6
26409;1997;3;28;7;17,7
26409;1997;3;29;7;0,5
26409;1997;3;30;7;0,0
26409;1997;3;31;7;0,0
26409;1997;4;1;7;0,0
26409;1997;4;2;7;0,0
26409;1997;4;3;7;0,3
26409;1997;4;4;7;9,3
26409;1997;4;5;7;0,9
26409;1997;4;6;7;4,3
26409;1997;4;7;7;0,0
26409;1997;4;8;7;0,0
26409;1997;4;9;7;0,0
26409;1997;4;10;7;0,0
26409;1997;4;11;7;0,0
26409;1997;4;12;7;0,0
26409;1997;4;13;7;0,0
26409;1997;4;14;7;1,6
26409;1997;4;15;7;0,0
26409;1997;4;16;7;0,0
26409;1997;4;17;7;0,0
26409;1997;4;18;7;0,0
26409;1997;4;19;7;0,0
26409;1997;4;20;7;0,0
26409;1997;4;21;7;0,0
26409;1997;4;22;7;2,2
26409;1997;4;23;7;1,5
26409;1997;4;24;7;0,4
26409;1997;4;25;7;16,2
26409;1997;4;26;7;0,0
26409;1997;4;27;7;0,0
26409;1997;4;28;7;0,0
26409;1997;4;29;7;10,1
26409;1997;4;30;7;0,0
26409;1997;5;1;7;0,0
26409;1997;5;2;7;0,0
26409;1997;5;3;7;0,0
26409;1997;5;4;7;0,4
26409;1997;5;5;7;14,4
26409;1997;5;6;7;8,0
26409;1997;5;7;7;2,4
26409;1997;5;8;7;0,7
26409;1997;5;9;7;0,0
26409;1997;5;10;7;4,3
26409;1997;5;11;7;0,0
26409;1997;5;12;7;2,0
26409;1997;5;13;7;2,2
26409;1997;5;14;7;0,0
26409;1997;5;15;7;0,0
26409;1997;5;16;7;0,0
26409;1997;5;17;7;0,0
26409;1997;5;18;7;0,0
26409;1997;5;19;7;0,0
26409;1997;5;20;7;9,7
26409;1997;5;21;7;0,6
26409;1997;5;22;7;8,0
26409;1997;5;23;7;3,8
26409;1997;5;24;7;0,0
26409;1997;5;25;7;0,0
26409;1997;5;26;7;0,0
26409;1997;5;27;7;7,7
26409;1997;5;28;7;0,3
26409;1997;5;29;7;0,0
26409;1997;5;30;7;0,0
26409;1997;5;31;7;0,0
26409;1997;6;1;7;0,0
26409;1997;6;2;7;0,0
26409;1997;6;3;7;0,0
26409;1997;6;4;7;0,0
26409;1997;6;5;7;0,0
26409;1997;6;6;7;0,0
26409;1997;6;7;7;0,0
26409;1997;6;8;7;0,0
26409;1997;6;9;7;0,5
26409;1997;6;10;7;0,0
26409;1997;6;11;7;0,0
26409;1997;6;12;7;0,0
26409;1997;6;13;7;1,8
26409;1997;6;14;7;8,7
26409;1997;6;15;7;0,0
26409;1997;6;16;7;0,3
26409;1997;6;17;7;0,0
26409;1997;6;18;7;0,0
26409;1997;6;19;7;0,0
26409;1997;6;20;7;0,0
26409;1997;6;21;7;6,2
26409;1997;6;22;7;12,2
26409;1997;6;23;7;11,2
26409;1997;6;24;7;20,2
26409;1997;6;25;7;0,8
26409;1997;6;26;7;0,0
26409;1997;6;27;7;5,2
26409;1997;6;28;7;7,0
26409;1997;6;29;7;0,0
26409;1997;6;30;7;0,5
26409;1997;7;1;7;0,0
26409;1997;7;2;7;0,0
26409;1997;7;3;7;0,8
26409;1997;7;4;7;1,5
26409;1997;7;5;7;0,0
